condition,hours,seed,policy,dt_ms,iei_ms,fit_min,fit_max,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,ks_iid_p,lognormal_a,lognormal_b,lognormal_bound_hit,aic_powerlaw_minus_lognormal,signature_regression,signature_mle
mixed,70.0,100,iei_rounded,4.0,4.477580972305305,1,30,0.6066830330826851,2.0123515848647324,0.9860484884737215,797925,0.9840172948585393,4.348056521602907,379,1.6079133263031569,0.3612786944809052,42630.175179368125,69.81425923444154,0.06714496652338442,785172,0.005,0.8900042024006397,0.3027446623338151,False,43443.653051875066,False,False
mixed,70.0,100,iei_rounded,4.0,4.477580972305305,1,15,0.6066830330826851,1.7991764048511896,0.9825828017439001,797925,0.9581263903249052,4.348056521602907,379,1.5139497378370077,0.43369416109021186,12170.13806433292,31.072158521924415,0.05005004545766756,764513,0.005,0.8345802245055571,0.3364069630663824,False,27156.473103961907,False,False
mixed,70.0,100,iei_rounded,4.0,4.477580972305305,1,59,0.6066830330826851,2.1694413739772918,0.990041527909181,797925,0.993821474449353,4.348056521602907,379,1.6691739902846106,0.3180400217182302,82132.95841287788,93.01068360399977,0.08031322179122113,792995,0.005,0.9369300026126188,0.2777402901319733,False,57019.93818571791,False,False
mixed,70.0,100,iei_rounded,4.0,4.477580972305305,3,30,0.6066830330826851,2.213898555736699,0.9975110441970704,797925,0.3694194316508444,4.348056521602907,379,2.067186328379295,0.24510818085294456,13543.210527591938,62.5231760419326,0.01893467449904701,294769,0.005,1.3420179011528761,0.1850824508137123,False,1384.2527584603522,False,False
mixed,70.0,100,fixed_10,10.0,4.477580972305305,1,30,0.9836577545206394,1.5222538975258788,0.9837264535331359,302828,0.9004418349690253,11.456744422576513,385,1.2679629465085736,0.2203771555197494,10964.00730770951,36.12852090841584,0.06441764718598647,272679,0.005,0.6062061226140429,0.2441282085270157,False,14022.054786659312,True,False
mixed,70.0,100,fixed_10,10.0,4.477580972305305,1,15,0.9836577545206394,1.3587957900208623,0.975541250648715,302828,0.8368116554611859,11.456744422576513,385,1.1650269208185104,0.29196861244367356,851.8174822585131,4.618941019203866,0.047647568680566965,253410,0.005,0.5278524319284277,0.285775579234323,False,8305.383924863068,True,False
mixed,70.0,100,fixed_10,10.0,4.477580972305305,1,59,0.9836577545206394,1.4627556234103787,0.9872880003944395,302828,0.9513321093161795,11.456744422576513,385,1.3119958431661214,0.1521900052739268,45617.59402866345,99.9625546080789,0.07086592101953776,288090,0.005,0.7793513617949112,0.16705256552792386,False,13080.44434565003,True,True
mixed,70.0,100,fixed_10,10.0,4.477580972305305,3,30,0.9836577545206394,1.6883759379515852,0.9977078442973405,302828,0.47939424359702537,11.456744422576513,385,1.6100495514831241,0.1681640728699489,4977.392507483842,39.18458510252787,0.018792539701728672,145174,0.005,1.0021530129276393,0.14794011182624786,False,549.4802453520242,True,True
mixed,70.0,100,selected_regression,10.0,4.477580972305305,1,30,0.9836577545206394,1.5222538975258788,0.9837264535331359,302828,0.9004418349690253,11.456744422576513,385,1.2679629465085736,0.2203771555197494,10964.00730770951,36.12852090841584,0.06441764718598647,272679,0.005,0.6062061226140429,0.2441282085270157,False,14022.054786659312,True,False
mixed,70.0,100,selected_mle,8.0,4.477580972305305,1,30,0.8647477641746982,1.6438048830827467,0.9835280298612236,387324,0.9348762276543668,8.957418078921007,379,1.3476165860101244,0.24861649144294679,15074.969686282655,41.0267507490941,0.06728255314837217,362100,0.005,0.654178571075633,0.2637700855957255,False,20261.112104802858,True,True
