condition,hours,seed,policy,dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
homogeneous,0.25,113,iei_float,53.58310140583744,0.8725335438042621,2.5362751379314417,0.8573287691043384,4037,0.9990091652216992,3.611345058211543,40,1.3881915301605492,0.3273741016486591,-676.8078394642135,-24.956818052435988,0.14058225916035788,4033
homogeneous,0.25,113,iei_100,37.0,0.6092321755027422,2.972877717744492,0.8856506120627612,6006,1.0,2.4274059274059274,18,1.737310443600629,0.5309633612692528,-871.3285311739592,-27.616805513480802,0.13813952248089767,6006
homogeneous,0.25,113,iei_400,61.0,1.0237388724035608,2.283604371856369,0.8688199443603334,3444,0.9985481997677119,4.233159117305458,40,1.2706775882089492,0.27213769355818673,-543.8227737968494,-21.062780158791174,0.1412689849292718,3439
homogeneous,0.25,114,iei_float,53.928499713138265,0.860456126787785,2.593234462788958,0.8562623446147072,4093,0.9995113608600049,3.546787197654532,34,1.400166234348669,0.332656063086497,-679.1094669734747,-25.1839563838324,0.13800728051363836,4091
homogeneous,0.25,114,iei_100,38.0,0.6082236082236082,2.9649419321615786,0.8858275824684142,5919,1.0,2.452610238215915,29,1.7295770395139751,0.5237894966474859,-841.7877107557038,-26.07367321703244,0.13480836508886074,5919
homogeneous,0.25,114,iei_400,61.0,0.9785679493424257,2.1868939785872867,0.8553088529888174,3471,0.9988475943532124,4.182368193604149,35,1.275181884915776,0.27517766896461215,-563.2171754522233,-22.454931499436498,0.1326542855573016,3467
homogeneous,0.25,115,iei_float,53.54706762630941,0.8376003056935423,2.2592897983182776,0.8634677919399372,4098,1.0,3.5617374328940947,20,1.3993115654087642,0.3293948394806486,-645.606297771933,-23.910633592085528,0.1264124372906707,4098
homogeneous,0.25,115,iei_100,37.0,0.5986486486486486,2.968731724061072,0.8803379823966067,5992,1.0,2.4359145527369828,16,1.7424618593567747,0.5285191919997667,-800.7742142972229,-25.344766242329833,0.12920335469511213,5992
homogeneous,0.25,115,iei_400,61.0,1.0062469966362326,2.3622504391179566,0.8419205131194415,3444,0.9997096399535423,4.238095238095238,38,1.2631846147091483,0.2691625673937885,-544.8622416098109,-21.580454562701764,0.12373930330611263,3443
homogeneous,0.25,116,iei_float,53.438097260564874,0.8568619740464019,2.4280770356974783,0.8659477597605993,4056,1.0,3.620069033530572,27,1.3908689972836772,0.3230973227539188,-612.1337685065346,-21.751401502945054,0.13522667528982657,4056
