condition,hours,seed,dt_ms,iei_ms,native_dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,signature_regression,signature_mle
refractory_0.8,3.0,119,2,16.836748206464005,17,0.0,4.410443786302406,0.8876056956036603,121949,1.0,1.4267603670386801,10,2.6216404665645303,1.2069390212002253,-3097.6944894438475,-31.34814571318542,0.04220092480194604,121949,False,False
refractory_0.8,3.0,119,3,16.836748206464005,17,0.5742378745348913,3.383923577937425,0.8557791886981647,72265,1.0,2.4076939043797134,22,1.8335800231997066,0.5367156666241026,-2103.8248245905256,-16.684898918585912,0.05831547689281735,72265,False,False
refractory_0.8,3.0,119,4,16.836748206464005,17,0.782150460572079,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,False
refractory_0.8,3.0,119,5,16.836748206464005,17,0.8336755162241888,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,True
refractory_0.8,3.0,119,6,16.836748206464005,17,0.8744661143415839,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,True
refractory_0.8,3.0,119,8,16.836748206464005,17,0.9392284351972259,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,True
refractory_0.8,3.0,119,10,16.836748206464005,17,0.9370762645671259,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,True
refractory_0.8,3.0,119,12,16.836748206464005,17,0.9247304715920365,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,True
refractory_0.8,3.0,119,16,16.836748206464005,17,0.8839333309641423,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,True
refractory_0.8,3.0,119,17,16.836748206464005,17,0.8779744839449541,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,True
refractory_0.8,3.0,119,20,16.836748206464005,17,0.8177700219062117,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,True
refractory_0.8,3.0,119,24,16.836748206464005,17,0.7327251029757093,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,False
refractory_0.8,3.0,119,32,16.836748206464005,17,0.6055749688717517,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,False
refractory_0.8,3.0,119,48,16.836748206464005,17,0.43436844313890055,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,False
refractory_0.8,3.0,119,64,16.836748206464005,17,0.33853474514511084,1.9410873010255965,0.968265885735526,47441,0.9960582618410236,3.667544950570182,58,1.5952190627716991,0.3321616288182996,5630.411221132781,39.22991711466196,0.021409538126862748,47254,False,False
refractory_0.8,3.0,119,96,16.836748206464005,17,0.2450295297777377,1.9245994963202502,0.9665886610178784,46493,0.9958488374594024,3.7423268018841545,58,1.57638353389091,0.3247694585295652,5298.123618632086,37.529132580710524,0.023450654351708122,46300,False,False
refractory_0.8,3.0,119,128,16.836748206464005,17,1.1583248212461696,1.6859417750018746,0.9513271524850184,33973,0.9909928472610603,5.121478821417008,65,1.2777315275334633,0.23069597005976433,377.23821652736274,3.7131242668867075,0.0726358357148355,33667,True,False
refractory_1.0,3.0,100,1,1.8758316952736067,2,0.0,3.703940062182543,0.8582291661967396,95227,1.0,1.8255641782267633,12,2.1245163191747576,0.7935773510760431,-6386.336201007229,-58.332527350515925,0.07640807326175847,95227,False,False
refractory_1.0,3.0,100,2,1.8758316952736067,2,0.0,3.703940062182543,0.8582291661967396,95227,1.0,1.8255641782267633,12,2.1245163191747576,0.7935773510760431,-6386.336201007229,-58.332527350515925,0.07640807326175847,95227,False,False
