condition,hours,seed,iei_ms,dropped_events,events,span_ms,realized_rate_per_hour,detected_fraction_over_20ms,detected_max_duration_ms,nominal_offspring,actual_offspring,attempted_offspring,generation_limit_hits,generated_cascades,max_generated_duration_ms,generated_fraction_over_20ms,clipped_events
capped,0.25,116,1.3045118454806097,0.0,14527,900000,58108.0,0.25923016496465046,104.0,,,,,,,,
capped,0.25,117,1.3070789137139849,0.0,14541,900000,58164.0,0.27003205128205127,112.0,,,,,,,,
capped,0.25,118,1.3170713316241893,0.0,14559,900756,58187.12281683386,0.26676946800308404,100.0,,,,,,,,
capped,0.25,119,1.2834184439771703,0.0,14513,900000,58052.0,0.27736006683375103,100.0,,,,,,,,
refractory_0.8,0.25,100,17.16064605765891,,14522,900000,58088.0,0.09817351598173515,84.0,0.8,0.7285497865307808,0.8034705963365928,0.0,3942.0,84.0,0.09817351598173515,0.0
refractory_0.8,0.25,101,13.621590608173713,,14500,900000,58000.0,0.10705973622963538,92.0,0.8,0.7333103448275862,0.8068965517241379,0.0,3867.0,92.0,0.10705973622963538,0.0
refractory_0.8,0.25,102,15.257372888772206,,14521,900000,58084.0,0.10110341288170388,88.0,0.8,0.7316300530266511,0.8038702568693616,0.0,3897.0,88.0,0.10110341288170388,0.0
refractory_0.8,0.25,103,21.87101734005296,,14500,900000,58000.0,0.09575518262586377,76.0,0.8,0.720551724137931,0.7897241379310345,0.0,4052.0,76.0,0.09575518262586377,0.0
refractory_0.8,0.25,104,14.47777582572031,,14512,900000,58048.0,0.11002318989951043,88.0,0.8,0.7325661521499449,0.8023015435501654,0.0,3881.0,88.0,0.11002318989951043,0.0
refractory_0.8,0.25,105,17.115766550522647,,14508,900000,58032.0,0.10495700556398584,96.0,0.8,0.7274607113316791,0.800799558864075,0.0,3954.0,96.0,0.10495700556398584,0.0
refractory_0.8,0.25,106,14.133896366675463,,14505,900000,58020.0,0.11148473874806002,80.0,0.8,0.7334712168217856,0.8056532230265425,0.0,3866.0,80.0,0.11148473874806002,0.0
