condition,hours,seed,dt_ms,iei_ms,native_dt_ms,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n,signature_regression,signature_mle
mixed,70.0,103,3,4.491224459569821,4,0.5245216713250422,2.203749549820771,0.9864136228288563,1032983,0.9918759553642219,3.349513980384963,347,1.7332099325524712,0.4312522758472809,54726.8103420999,75.9664596537745,0.06562103979885409,1024591,False,False
mixed,70.0,103,4,4.491224459569821,4,0.6081058049561987,2.021728045384663,0.9853880357833819,799292,0.984241053332199,4.328819755483603,403,1.6078729518627082,0.36216925237342346,40756.41313240083,66.82909576728524,0.06778181499406144,786696,False,False
mixed,70.0,103,5,4.491224459569821,4,0.6799053511220849,1.8956758754266627,0.9843816065330825,641569,0.9747026430516437,5.393014625083194,361,1.518379245600224,0.31901518470815493,30225.702738140964,57.54205977292138,0.06839238010089038,625339,False,False
mixed,70.0,103,6,4.491224459569821,4,0.7462434985044718,1.7993646685732503,0.983665312161812,530953,0.9633018365090695,6.5165673797869115,403,1.4494521765894373,0.28926777005405835,22446.262166730336,48.76265827474822,0.06938939847767461,511468,False,False
mixed,70.0,103,8,4.491224459569821,4,0.8683700025720053,1.6447498570948587,0.9826678707557199,386981,0.9349787198854724,8.940984182685972,403,1.3434450567912197,0.2476161008402239,14255.148240611095,38.980790741641705,0.0678955614177344,361819,True,True
mixed,70.0,103,10,4.491224459569821,4,0.9878781358150878,1.5236022931099185,0.9834608071644692,302304,0.9000840213824495,11.44540264105007,403,1.2658054200018523,0.220084512211068,10431.06265250219,34.507239593582646,0.06527594598966957,272099,True,False
mixed,70.0,103,12,4.491224459569821,4,1.1223544973544974,1.3845404232642764,0.9859570297599705,248223,0.8635904005672319,13.939042715622646,403,1.1926199438339946,0.19492736909216996,9704.06593582397,37.75476031301489,0.060340214980442286,214363,True,False
mixed,70.0,103,16,4.491224459569821,4,1.401836806782056,1.1111176570706254,0.9831622019124396,186645,0.7979961959870342,18.537817782421175,403,1.0453831317235238,0.14928153309951003,10247.645548058394,54.37467444565759,0.043157325074905245,148942,False,False
mixed,70.0,103,20,4.491224459569821,4,1.7332693077230892,0.8859032847584368,0.9802610469620014,155161,0.749969386637106,22.29936001959255,404,0.8903595695420368,0.11201311622763438,8768.568778946094,63.80453194336252,0.023735125277426855,116366,False,False
mixed,70.0,103,24,4.491224459569821,4,2.0997089532493436,0.721231538143834,0.9790665017847209,137248,0.7143710655164374,25.20977354861273,403,0.7460349371856534,0.08547495362638963,6073.2444687900015,58.695734072745054,0.016783681802508832,98046,False,False
mixed,70.0,103,32,4.491224459569821,4,2.8048610100422064,0.4968697563013752,0.9635882450777469,119391,0.6701175130453719,28.98033352597767,408,0.5089664011079389,0.052969610367309405,2042.7913861459617,33.34372797398139,0.018482188252234133,80006,False,False
mixed,70.0,103,48,4.491224459569821,4,4.3206846585763445,0.2537121418495678,0.6916855275853173,107318,0.632177267559962,32.24054678618685,408,0.22944099049473898,0.026822344125237645,-343.417714898383,-14.285547139173598,0.03755339991885864,67844,False,False
mixed,70.0,103,64,4.491224459569821,4,5.765655697445973,0.13112090743102886,0.23184107181250668,103445,0.6180289042486345,33.44763884189666,408,0.11184134151639036,0.01880177262886773,-538.1807589942118,-27.005550170519847,0.057201908586511085,63932,False,False
mixed,70.0,103,96,4.491224459569821,4,8.564327750113174,0.04284361683315889,0.0200261670092321,100226,0.6051024684213677,34.52189052740806,408,0.05147123147277988,0.015103746738578339,-457.39927932968243,-21.555896056380856,0.0666994780161484,60647,False,False
mixed,70.0,103,128,4.491224459569821,4,10.819099099099098,0.025400622217679244,0.006717798719725665,97989,0.5958934166079866,35.309993978916,408,0.04178683517332793,0.014335527275519778,-410.7402148290358,-19.680927181979243,0.06710010619153117,58391,False,False
mixed,70.0,104,1,4.486590446140722,4,0.27638084303774463,3.315155526456149,0.98639212381499,2059927,0.9998393146941615,1.6801051687753983,96,2.3444274174211177,0.9097861998580841,32572.750835591643,37.682338961102325,0.04749234898293264,2059596,False,False
mixed,70.0,104,2,4.486590446140722,4,0.42333399341972594,2.4946996030444035,0.9884572859603914,1402059,0.9972483326307952,2.468436777624907,352,1.9301166912014178,0.5610452725739568,66636.76198736031,77.3517944958972,0.06060831452300797,1398201,False,False
mixed,70.0,104,3,4.486590446140722,4,0.523870383402231,2.189207559443519,0.9873560141494941,1030335,0.9916561118471177,3.3589987722439787,352,1.733467623386579,0.4303454137807442,57046.65163620214,78.83594407894164,0.06520219826554913,1021738,False,False
mixed,70.0,104,4,4.486590446140722,4,0.6049754621945349,2.0266171793851275,0.9854287881735616,797829,0.9837885060583158,4.337889447488121,359,1.6117614099646023,0.3639600605206059,41170.79591392344,67.52530075975301,0.06760879585698687,784895,False,False
mixed,70.0,104,5,4.486590446140722,4,0.6751436216995078,1.898086457907969,0.9847314012144145,641097,0.9745124372754825,5.398393690814339,371,1.5215393274917606,0.32030928786146273,30572.631320184675,58.14613748783603,0.06861878102289204,624757,False,False
mixed,70.0,104,6,4.486590446140722,4,0.737653547624452,1.806047462750567,0.9834112117764308,530545,0.9632547663251939,6.523280777313894,372,1.4532223095311405,0.29064037896815775,22881.6093040532,49.72077184982229,0.0687233837504046,511050,False,False
mixed,70.0,104,8,4.486590446140722,4,0.8626545353521322,1.6519988618077408,0.9827033203745191,387913,0.9351040052795343,8.92183041042708,372,1.3479351909744697,0.2491907766919222,14465.072748576336,39.47471222758804,0.06815501506546084,362739,True,True
mixed,70.0,104,10,4.486590446140722,4,0.9817290977067606,1.5253469027757638,0.9837574739463486,302953,0.9005555317161408,11.423864427815536,372,1.2693219322346554,0.2210522640522749,10723.671781144107,35.28369093141201,0.06510334276838853,272826,True,False
mixed,70.0,104,12,4.486590446140722,4,1.1090539433200883,1.3937973666570889,0.9852186642896821,249033,0.8639778663871857,13.897330875827702,372,1.1999395511185131,0.19702899908735355,9887.24225768723,38.074947225677455,0.059940033835729545,215159,True,False
mixed,70.0,104,16,4.486590446140722,4,1.406563237458819,1.119811792083437,0.9844119249619835,187236,0.7993281206605567,18.484126984126984,391,1.048083049837464,0.15035310224926451,9998.389363171955,52.7445460634338,0.04321131983280896,149663,False,False
mixed,70.0,104,20,4.486590446140722,4,1.7160259880887927,0.8942088072209413,0.9814514453139074,155565,0.7512165332819079,22.24725355960531,391,0.8935723054589015,0.11301141801475717,8621.225338069371,62.188682712761505,0.02355209802667041,116863,False,False
mixed,70.0,104,24,4.486590446140722,4,2.0652834008097165,0.7245732461366007,0.9806035915400876,137353,0.7156232481270886,25.197076146862464,391,0.7473815173396172,0.08585449439918652,6031.595146242789,58.06056342313356,0.017436020125960627,98293,False,False
mixed,70.0,104,32,4.486590446140722,4,2.810082471831804,0.49839044465949217,0.9642255791364565,119320,0.6711112973516594,29.005145826349313,391,0.5075090043630421,0.05306433721096686,1953.4475750424613,31.98933031681417,0.016344121158326508,80077,False,False
mixed,70.0,104,48,4.486590446140722,4,4.32661804922516,0.2527120765073906,0.6664908065490007,107250,0.6337156177156177,32.269407925407926,391,0.22592279110732782,0.026918981828143444,-404.4095260667391,-16.814636641328924,0.03997716203455326,67966,False,False
mixed,70.0,104,64,4.486590446140722,4,5.779299754299754,0.13036628817901516,0.21724436014702464,103386,0.6196196777126497,33.47546089412493,391,0.11079652473451596,0.019067441049638437,-568.8448155286425,-27.68827850368071,0.05965294418533784,64060,False,False
mixed,70.0,104,96,4.486590446140722,4,8.506485143960997,0.04047359790030285,0.016960121608086687,100148,0.6068518592483125,34.557794464192995,422,0.051260355980284444,0.015331813883502372,-474.488480532808,-21.862705525847907,0.06864548504226764,60775,False,False
mixed,70.0,104,128,4.486590446140722,4,10.733202790356138,0.02399848248151121,0.005730947776262152,97979,0.5983935333081579,35.32281407240327,422,0.04192402825256103,0.014565481182421701,-426.634999802683,-20.017496403448604,0.06907753285373819,58630,False,False
