condition,seed,control,jitter_ms,dt_ms,original_native,control_native,sigma_single,tau_regression,regression_r2,n_avalanches,fit_fraction,mean_size,max_size,tau_mle,exp_rate,llr,vuong_z,ks,fit_n
homogeneous,108,jitter,4,54,54,54,0.891395793499044,2.5975577536178163,0.8313047648239411,4105,1.0,3.5064555420219246,22,1.4003261094472084,0.33559132640178135,-716.0370603590134,-26.785816650677965,0.14312301200553218,4105
homogeneous,108,jitter,20,10,54,54,0.15894868585732166,4.3079983325789,0.9271864005643344,11297,1.0,1.2741435779410464,6,2.9484813954336193,1.5363775520945424,-404.2085346980689,-18.12069864823308,0.04146856984021008,11297
homogeneous,108,jitter,20,54,54,54,0.869482496194825,2.5515124027391143,0.8747685425152452,4145,1.0,3.472617611580217,29,1.411332657821939,0.3394995268895947,-703.3054946480397,-25.04224673811967,0.1413197666719403,4145
homogeneous,108,jitter,80,10,54,54,0.1542321530013255,4.677663535156628,0.9300395139070818,11415,1.0,1.2609724047306177,7,2.9969174533557226,1.5752237793544754,-360.5218144104831,-15.843934732696853,0.038605825449097186,11415
homogeneous,108,jitter,80,54,54,54,0.8645111624326405,2.59629411040222,0.8430528806875223,4073,1.0,3.534004419346919,24,1.3996793678537873,0.332474806538553,-676.8467060318811,-24.68207871347836,0.13712495030141447,4073
homogeneous,109,none,0,10,54,54,0.15919878488703246,4.538599651936833,0.9190977901356249,11396,1.0,1.2627237627237626,6,2.9816410669204227,1.5699232349018346,-416.00338466764424,-19.089301870484782,0.04159568089703125,11396
homogeneous,109,none,0,54,54,54,0.8630672926447575,2.518909500647376,0.8759447194901472,4085,0.9997552019583843,3.522643818849449,35,1.4026826105690926,0.3346257678151534,-686.6225412724345,-24.874843221609883,0.14515604506150676,4084
homogeneous,109,shuffle,0,10,54,54,0.1614859012607064,4.6195185740158875,0.8797779178896648,11302,1.0,1.2732259777030615,6,2.949030101855472,1.5390098887367416,-417.1082489160692,-18.702355927959687,0.04260093763188921,11302
homogeneous,109,shuffle,0,54,54,54,0.890295358649789,2.6351678714682722,0.8711276663836172,4062,1.0,3.5425898572131955,29,1.4031842918636688,0.3315152512900966,-642.5158906455716,-22.356661290825283,0.14147895921539339,4062
homogeneous,109,jitter,4,10,54,54,0.1598099762470309,4.4607971652190805,0.9275371231370342,11380,1.0,1.2644991212653778,6,2.9757523202034353,1.5645934421384928,-417.7317323373522,-19.101028453463826,0.04187010210930542,11380
homogeneous,109,jitter,4,54,54,54,0.8404213811939134,2.319684282648637,0.8759846240335356,4108,0.9997565725413826,3.502921129503408,35,1.411317574812804,0.33687538040705345,-665.5114441329146,-23.951610192265345,0.14126645956470435,4107
